Epoch,ResNet_Acc,ResNet_Kappa,ResNet_Precision,ResNet_Recall,ResNet_F1,EffNet_Acc,EffNet_Kappa,EffNet_Precision,EffNet_Recall,EffNet_F1,Ensemble_Acc,Ensemble_Kappa,Ensemble_Precision,Ensemble_Recall,Ensemble_F1
1,0.677198975234842,0.18403384266758327,0.4396407084203601,0.39969203028602235,0.376655342348024,0.5623398804440649,0.23546633352903512,0.4493126678236365,0.49790771951145113,0.4434764359829632,0.64133219470538,0.2603298760845584,0.48939462106760745,0.4760704144026591,0.46036121571578664
2,0.6656703672075149,0.28193863169808187,0.3626616501423681,0.4571593173383654,0.38861972816087154,0.6117278679191575,0.27817682757015594,0.43367801744840556,0.5033849720439845,0.45067843816289244,0.6915741531454597,0.345444916998476,0.4493851030698349,0.5021503946483608,0.4709056170579126
3,0.5651864503273555,0.22839461015817708,0.38984895699792027,0.4118765756980899,0.3830280731938412,0.4998576715058355,0.21031586260101598,0.4153996841763378,0.4850181591055448,0.4105727419227253,0.5734415029888984,0.2637533564258133,0.4772038878292967,0.47812284442259684,0.4513707436577176
4,0.5367207514944492,0.18996949957369114,0.37299784814112064,0.42362100241041895,0.36460606876655166,0.5415599202960433,0.231394544983079,0.45375831106623943,0.4785680032760786,0.43841030811862636,0.6110162254483348,0.2820331449769692,0.48906682127101425,0.4893668819209889,0.47325614966438695
5,0.6020495303159693,0.18832203549919946,0.4277588614251129,0.3624919860361146,0.37549046327991337,0.6878736122971819,0.3334182999045683,0.4844250222365144,0.44568491516412045,0.4532447956738054,0.7270139481924281,0.35014460822585336,0.5314193771073528,0.41389007200663813,0.44546404642417176
6,0.7122117847993168,0.29946678086979295,0.48883898614182464,0.3616466604750491,0.38350494395731466,0.690293196697979,0.3269218095136335,0.4111661562729195,0.4727067245154159,0.43043752164087545,0.7615997722744093,0.3973459471002214,0.509492499209707,0.4402605524833059,0.44453329727395785
7,0.704241389126103,0.24732513527629274,0.4102748650698227,0.37639557210886726,0.38052773316780303,0.7312838030173641,0.3617182152576002,0.4390318459472497,0.46937792734931866,0.4490903209216331,0.7781098775974951,0.401628585649062,0.5210957069995719,0.44799707686429,0.4637501058218228
8,0.5852547680045546,0.21755979025744088,0.39682264896597064,0.38985784502510745,0.36673238740437075,0.6971249644178764,0.3239842556127156,0.500077132120016,0.43572309129203246,0.4496895105339103,0.739823512667236,0.3799250552700003,0.5493007226635677,0.43861195744224146,0.4568924874956785
9,0.753487048107031,0.255400230960547,0.46384136499643247,0.3452789470412613,0.3752523704328567,0.7371192712781098,0.36797920301031717,0.4703961206469546,0.44676283052706517,0.4499100940531582,0.7865072587532024,0.3779031114347948,0.5514348669227788,0.40113975484919207,0.43715026551110114
10,0.6762026757756903,0.2568976213136721,0.3880597721682409,0.36953763731475736,0.37746310161657387,0.6976942783945346,0.33052823055430824,0.45791813243329926,0.4551776772264504,0.4543130064693945,0.7600341588385995,0.3891782503195179,0.5200246730242181,0.43556889482815786,0.46456222807955144
11,0.7070879590093937,0.2524613779249607,0.4470686052420853,0.3830920568632056,0.40803073424681635,0.7506404782237404,0.3757864059079631,0.45589972461023054,0.4561212908407689,0.44684415670501937,0.784514659834899,0.3993817971652378,0.5527294766009538,0.4405643280594204,0.47233880875441
12,0.6410475377170509,0.21838605083586404,0.4415797709062116,0.36140711613637133,0.3838846635272194,0.6828921150014233,0.31727233910969366,0.4566784450101604,0.45404957921511857,0.45013996651145227,0.7445203529746656,0.3542070095156593,0.5304780361083212,0.41205298109047545,0.4519825135921442
13,0.6901508682038144,0.21678168778106677,0.45079691612511824,0.34920252532935214,0.3722945523500228,0.728864218616567,0.3512482354398706,0.4575974535787751,0.46987298476472417,0.46199227614581106,0.7705664674067748,0.36970668594698775,0.5319253468011046,0.43097710999131744,0.4577798091576133
14,0.6021918588101338,0.21062729453735907,0.420589853260344,0.3648417360379437,0.3696625579544993,0.7298605180757187,0.34032003660670684,0.4937579077460512,0.42123449332214075,0.44778201484285596,0.7493595217762596,0.3622608591489084,0.5459789119814629,0.4013083577572895,0.4377727059909165
15,0.6911471676629661,0.27892915558242715,0.38609940901596124,0.378918539490596,0.3740033264884465,0.7263023057216055,0.34435664519217213,0.437027407511145,0.4673268618870191,0.44697677955618775,0.7745516652433817,0.4020479826934733,0.48558143259283015,0.44460160323181375,0.45798351013925476
