Epoch,ResNet_Acc,ResNet_Kappa,ResNet_Precision,ResNet_Recall,ResNet_F1,EffNet_Acc,EffNet_Kappa,EffNet_Precision,EffNet_Recall,EffNet_F1,Ensemble_Acc,Ensemble_Kappa,Ensemble_Precision,Ensemble_Recall,Ensemble_F1
1,0.5352974665528039,0.2195060592852296,0.3879770069977135,0.4833288020976867,0.40255105598169927,0.46883005977796754,0.17984964251672286,0.41767715790756565,0.4858692882436889,0.40821156525106855,0.5145175064047822,0.21253588584663397,0.43244597613168934,0.4971915954471921,0.42914354050316383
2,0.6898662112154853,0.291922882137877,0.4194730818887321,0.46430949276868383,0.4366413245743308,0.5646171363506974,0.2423375568827597,0.4836944872571924,0.4912485032342273,0.46086226888619314,0.6440364360945061,0.2972992449057269,0.49843195661610107,0.49298352043923704,0.48249674721127833
3,0.6043267862226017,0.2668817646471974,0.4370782325803001,0.43667521863902925,0.4213846769362005,0.65044121833191,0.3046982058396571,0.45059534902297893,0.483755620225861,0.45991550892266064,0.6730714489040706,0.3349786018396097,0.46831273129898376,0.48769840753524224,0.4726965373535501
4,0.7019641332194705,0.3258640233807055,0.49916772051163977,0.43689217801890495,0.45723373672989814,0.6679476231141475,0.30950980112565896,0.4737342753290667,0.4617682794485168,0.4626156198614334,0.7123541132934813,0.35907106386862453,0.5005751695726935,0.4677894554787862,0.4810233131837716
5,0.7214631369200114,0.3253919261231586,0.5082459446934763,0.41526598930800274,0.44076961712524165,0.6660973526900086,0.30863242443830396,0.4448675200959723,0.4825596284274475,0.45995321364076486,0.712781098775975,0.35565322690373924,0.470584066835156,0.4829437250804383,0.47588985348584345
6,0.6576999715343012,0.28536473992714984,0.4635371447164379,0.4153343302843469,0.42594764094686993,0.6643894107600341,0.31473187806218195,0.43890013129096045,0.4774844622617942,0.443190378972189,0.697267292912041,0.3462238892942825,0.46314517093330176,0.47604885991107526,0.4575306467556812
7,0.7223171078849986,0.32395995364091423,0.48065502917046443,0.4202004179582299,0.4414683037109767,0.5673213777398235,0.2475384046568756,0.44079705440295863,0.4590475768744683,0.428780123814677,0.6372046683746087,0.30279487424844975,0.4697909149740128,0.47220966982375756,0.45909140728600295
8,0.7445203529746656,0.33748186721532647,0.5012988336415374,0.40307400204488825,0.4265263968814346,0.6303729006547111,0.2638544392269233,0.5230086579665167,0.45411657117655385,0.469145515707383,0.6890122402504981,0.3129845600856185,0.5433058245088983,0.4557899946607694,0.48480378039700944
9,0.717620267577569,0.31203482925147397,0.4965030675373162,0.3910438202475935,0.4230208356625031,0.724025049814973,0.3542363896052235,0.4869573209737081,0.449427052793962,0.4631070287472512,0.7503558212354113,0.388499521437368,0.5144217723113528,0.4575811803610586,0.47750622026542133
10,0.7335610589239966,0.33369261029301134,0.46092754707387484,0.4302634706603218,0.4358112526387064,0.7126387702818104,0.3401369657702795,0.4549743251481312,0.45394444827744784,0.4493898648163233,0.7372615997722745,0.3688819177703978,0.48083001134266806,0.4577966593980727,0.4635792589493746
11,0.7611727867919157,0.35086293630310894,0.4875025513225511,0.41311551059849083,0.43619271445234115,0.7156276686592656,0.34123077206087304,0.45338281130593094,0.4495857748021496,0.4481765198743397,0.7485055508112725,0.3782943231020749,0.4753027089043023,0.45280315700471413,0.45878922070100847
12,0.7315684600056931,0.31045983945533806,0.5050026350838052,0.4223783231017816,0.4550976489278919,0.7231710788499858,0.3326717463537636,0.5208179891103084,0.4430257465033526,0.47435121390575485,0.7499288357529177,0.36601229952415026,0.5504894819830257,0.4493952149339173,0.4888502553546852
13,0.7533447196128665,0.3268314867543559,0.5316396859488458,0.3920344606157441,0.43429506599197765,0.7497865072587532,0.3666848243185651,0.5090482331115377,0.4461721592291202,0.46826107465471145,0.7685738684884714,0.3873763319979705,0.5340971240584768,0.4466541412340395,0.4758404555964795
14,0.7345573583831483,0.2662203039771579,0.4915883767026602,0.3676628276202267,0.40684903239377157,0.7119271278109878,0.33673542347654883,0.44831692418116464,0.45868453260180236,0.45295901564140373,0.7449473384571591,0.367779289322932,0.4845204663219972,0.46348469602359604,0.4716851818580487
15,0.7476515798462853,0.31643562917772416,0.4709836394252366,0.4083165402168804,0.42822334115593713,0.7126387702818104,0.3374054813926023,0.4810545984957738,0.4441127907423552,0.45412055933560075,0.7446626814688301,0.37196253970873383,0.5089984713218074,0.4479188319243274,0.4671104588905381
